Filename,File_Size,Index_of_Coincidence,Entropy,Nasty_Sig_Count,Super_Nasty_Sig_Count,Eval_Uses,Compression_Ratio,Longest_Word_Length,NonPrintableChars,ObfuscatedPHP,PasswordProtection,HiddenInAFile,DangerousPHP,DodgyPHP,SuspiciousEncoding,DodgyStrings,CloudflareBypass,Websites,Label
pHpINJ.php.php.txt,1124,0.03842814271635141,5.439016912922058,8,0,0,0.5435943060498221,50,0,0,0,0,1,1,0,0,0,0,1
wso-4.1.3.php,77576,0.03016336306341547,5.691771573244569,26,0,3,0.2818655254202331,1128,4,12,0,0,74,14,0,36,0,3,1
weevely_232.php,759,0.042814284870037994,5.143951050573783,0,0,0,0.6851119894598156,101,0,3,0,0,0,0,0,0,0,0,1
27.9.txt,131446,0.036178121855779205,5.527365676330496,97,0,2,0.24419913880985347,422,0,65,0,0,107,6,0,63,0,2,1
arabicspy.php,44116,0.028637798238879915,5.634386087321467,41,0,0,0.28783207906428504,98,0,12,0,0,60,8,0,5,0,0,1
b374k-2.5.php,47490,0.015571720810468323,6.018690495448471,3,0,0,0.7581806696146557,47137,0,3,0,0,0,0,0,0,0,5,1
weevely_323.php,759,0.04227893249345584,5.139145690161795,0,0,0,0.686429512516469,101,0,3,0,0,0,0,0,0,0,0,1
Casus15.php.txt,13670,0.03684848425168512,5.519005766029976,8,0,0,0.2739575713240673,167,0,0,0,0,9,3,0,3,0,0,1
metaslsoft.php,79452,0.0240641084779573,5.834991754459507,37,0,1,0.302975381362332,5847,0,7,0,0,56,2,0,22,0,6,1
r57142.php,57396,0.015312180543112385,6.053334575300956,2,0,0,0.7518990870443933,55438,0,0,0,0,3,7,0,2,0,0,1
Antichat Shell v1.3.txt,8998,0.028246579340627805,5.654167847410715,10,0,0,0.34507668370749056,108,0,0,0,0,2,0,0,0,0,2,1
c37.php,174864,0.024976188082589695,5.847016046053803,141,0,4,0.28009767590813434,5794,0,22,0,0,404,25,0,11,0,14,1
bdotw44shell.txt,3188,0.034121917025683464,5.24497489870944,16,0,0,0.39397741530740277,70,0,0,0,0,21,2,0,0,0,0,1
