File_Size,Index_of_Coincidence,Entropy,Nasty_Sig_Count,Super_Nasty_Sig_Count,Eval_Uses,Compression_Ratio,Longest_Word_Length,NonPrintableChars,ObfuscatedPHP,PasswordProtection,HiddenInAFile,DangerousPHP,DodgyPHP,SuspiciousEncoding,DodgyStrings,CloudflareBypass,Websites,Label
57702,0.02983706688,5.61822457,20,0,3,0.2920176077,784,0,746,0,0,65,15,0,34,0,5,1
1595,0.02295127103,6.10019084,0,0,0,0.6871473354,84,0,1,0,0,0,0,0,0,0,0,1
3205,0.04014389616,5.177328332,1,0,1,0.3828393136,58,0,1,0,0,1,0,0,0,0,0,1
1261,0.02744735219,6.160638464,0,0,0,0.6843774782,80,0,3,0,0,0,0,0,0,0,0,1
1467,0.03160945996,6.18127246,0,0,0,0.670074983,91,0,3,0,0,0,0,0,0,0,0,1
1568,0.02964116406,6.194324044,0,0,0,0.65625,92,0,4,0,0,0,0,0,0,0,0,1
1424,0.02229918593,6.141198112,0,0,0,0.7247191011,80,0,0,0,0,0,0,0,0,0,0,1
1172,0.0224145519,6.140584734,0,0,0,0.726109215,80,0,0,0,0,0,0,0,0,0,0,1
2017,0.03234559813,6.146455916,0,0,0,0.6430342092,92,0,1,0,0,0,0,0,0,0,0,1
1254,0.02618404824,6.127446285,0,0,0,0.677830941,80,0,0,0,0,0,0,0,0,0,0,1
1332,0.03087948956,6.084284909,0,0,0,0.6501501502,81,0,1,0,0,0,0,0,0,0,0,1
1730,0.03143318501,6.141399023,0,0,0,0.6531791908,80,0,0,0,0,0,0,0,0,0,0,1
1343,0.0235553785,6.13813762,0,0,0,0.7043931497,80,0,0,0,0,0,0,0,0,0,0,1
1802,0.02905464408,6.167641004,0,0,0,0.6637069922,90,0,0,0,0,0,0,0,0,0,0,1
1907,0.02364459431,6.151104724,0,0,0,0.663345569,87,0,0,0,0,0,0,0,0,0,0,1
1731,0.02268594117,6.175672896,0,0,0,0.6909300982,80,0,0,0,0,0,0,0,0,0,0,1
1828,0.02706125837,6.078369268,0,0,0,0.6805251641,87,0,0,0,0,0,0,0,0,0,0,1
1652,0.03080090869,6.117688701,0,0,0,0.6604116223,91,0,1,0,0,0,0,0,0,0,0,1
1386,0.02357458025,6.146413506,0,0,0,0.7063492063,82,0,0,0,0,0,0,0,0,0,0,1
1851,0.03438725598,6.079826466,0,0,0,0.6477579687,92,0,0,0,0,0,0,0,0,0,0,1
1093,0.02031576231,6.116210501,0,0,0,0.725526075,80,0,0,0,0,0,0,0,0,0,0,1
1096,0.0204146252,6.172263479,0,0,0,0.7290145985,85,0,2,0,0,0,0,0,0,0,0,1
1368,0.02279503929,6.131221695,0,0,0,0.7097953216,91,0,2,0,0,0,0,0,0,0,0,1
1874,0.02629058331,6.172829895,0,0,0,0.6616862327,80,0,0,0,0,0,0,0,0,0,0,1
1436,0.02966816457,6.137519593,0,0,0,0.6747910864,90,0,0,0,0,0,0,0,0,0,0,1
1467,0.03160945996,6.18127246,0,0,0,0.670074983,91,0,3,0,0,0,0,0,0,0,0,1
1568,0.02964116406,6.194324044,0,0,0,0.65625,92,0,4,0,0,0,0,0,0,0,0,1
1424,0.02229918593,6.141198112,0,0,0,0.7247191011,80,0,0,0,0,0,0,0,0,0,0,1
1172,0.0224145519,6.140584734,0,0,0,0.726109215,80,0,0,0,0,0,0,0,0,0,0,1
2017,0.03234559813,6.146455916,0,0,0,0.6430342092,92,0,1,0,0,0,0,0,0,0,0,1
1254,0.02618404824,6.127446285,0,0,0,0.677830941,80,0,0,0,0,0,0,0,0,0,0,1
1332,0.03087948956,6.084284909,0,0,0,0.6501501502,81,0,1,0,0,0,0,0,0,0,0,1
1730,0.03143318501,6.141399023,0,0,0,0.6531791908,80,0,0,0,0,0,0,0,0,0,0,1
1343,0.0235553785,6.13813762,0,0,0,0.7043931497,80,0,0,0,0,0,0,0,0,0,0,1
1802,0.02905464408,6.167641004,0,0,0,0.6637069922,90,0,0,0,0,0,0,0,0,0,0,1
1907,0.02364459431,6.151104724,0,0,0,0.663345569,87,0,0,0,0,0,0,0,0,0,0,1
1731,0.02268594117,6.175672896,0,0,0,0.6909300982,80,0,0,0,0,0,0,0,0,0,0,1
1828,0.02706125837,6.078369268,0,0,0,0.6805251641,87,0,0,0,0,0,0,0,0,0,0,1
