@relation backdoor_webshells_features_full_pca

@attribute  pc1     real
@attribute  pc2     real
@attribute  pc3     real
@attribute  pc4     real
@attribute  Label   {0, 1}
@data
9.444851140492349639e-01,5.725941019070692611e-02,-2.597633347762225986e-01,3.890370862693782739e-01,1.000000000000000000e+00
9.074113724153157756e-01,-2.442039047097798593e-02,5.464259920232103496e-02,-9.407809986223585053e-02,1.000000000000000000e+00
8.791990189032197200e-01,1.018355063776650027e-01,-2.141145044433684363e-02,-7.202026279704329403e-02,1.000000000000000000e+00
9.084280411256201448e-01,-2.747050771632017496e-02,5.011798461938325039e-02,-9.605888015085467524e-02,1.000000000000000000e+00
9.081666604714390134e-01,-2.597915686740966471e-02,4.373733005863671836e-02,-9.872433178806824805e-02,1.000000000000000000e+00
9.083887665812468981e-01,-2.830905373545673440e-02,3.866735227123223317e-02,-1.005312783356829415e-01,1.000000000000000000e+00
9.094057784535530820e-01,-3.091468549788848816e-02,6.549307981593006922e-02,-9.037973103990475099e-02,1.000000000000000000e+00
9.094113597573021401e-01,-3.081834533091709627e-02,6.597638947745515514e-02,-9.019709985524645979e-02,1.000000000000000000e+00
9.065287314217633785e-01,-2.053420709653861267e-02,3.626202137314531865e-02,-1.015947575707508294e-01,1.000000000000000000e+00
9.075203317144027171e-01,-2.455769095886187539e-02,4.979720424764359082e-02,-9.631831754312074334e-02,1.000000000000000000e+00
9.052799214402145189e-01,-1.518626200776814449e-02,4.184333124805083431e-02,-9.903101115557487455e-02,1.000000000000000000e+00
9.067255429326487315e-01,-2.109493726505189820e-02,4.009615681055717779e-02,-1.002240725084876660e-01,1.000000000000000000e+00
9.087072638518300938e-01,-2.879670888493219422e-02,5.860770870882625605e-02,-9.299158287078157503e-02,1.000000000000000000e+00
9.078954704969250944e-01,-2.617157435498616846e-02,4.271358116202651767e-02,-9.934211274882395748e-02,1.000000000000000000e+00
9.080414491643545860e-01,-2.844449461400033394e-02,4.411503697015401598e-02,-9.854227283656247227e-02,1.000000000000000000e+00
