@relation web_shells

@attribute file_size		    REAL
@attribute IoC      		    REAL
@attribute entropy  		    REAL
@attribute nasty_sig_count      REAL
@attribute sup_nasty_sig_count  REAL
@attribute eval_uses      		REAL
@attribute compression_ratio  	REAL
@attribute longest_word_len  	REAL
@attribute class	            {0, 1}

@data
1124,0.03842814272,5.439016913,8,0,0,0.543594306,50,1
77576,0.03016336306,5.691771573,26,0,3,0.2818655254,1128,1
759,0.04281428487,5.143951051,0,0,0,0.6851119895,101,1
131446,0.03617812186,5.527365676,97,0,2,0.2441991388,422,1
44116,0.02863779824,5.634386087,41,0,0,0.2878320791,98,1
47490,0.01557172081,6.018690495,3,0,0,0.7581806696,47137,1
759,0.04227893249,5.13914569,0,0,0,0.6864295125,101,1
13670,0.03684848425,5.519005766,8,0,0,0.2739575713,167,1
79452,0.02406410848,5.834991754,37,0,1,0.3029753814,5847,1
57396,0.01531218054,6.053334575,2,0,0,0.751899087,55438,1
8998,0.02824657934,5.654167847,10,0,0,0.3450766837,108,1
174864,0.02497618808,5.847016046,141,0,4,0.2800976759,5794,1
3188,0.03412191703,5.244974899,16,0,0,0.3939774153,70,1
111606,0.02235558427,5.916469036,64,0,1,0.3049298425,5034,1
67751,0.0273326246,5.321325407,52,0,1,0.3248955735,337,1
98732,0.02691263691,5.925023267,18,0,1,0.262599765,126,1
703,0.02659339501,5.472797774,0,0,0,0.6415362731,46,1
695,0.03552754338,5.313315546,0,0,0,0.7194244604,80,1
143062,0.03473460969,5.554759239,98,0,2,0.2348492262,422,1
769,0.03822943758,5.265989235,0,0,0,0.6905071521,89,1
749,0.03852552066,5.289857071,0,0,0,0.7089452603,116,1
19593,0.03491745947,5.368973083,50,0,0,0.2355943449,178,1
33796,0.03683257566,5.457857702,1,0,0,0.1903183809,118,1
769,0.04268936931,5.159204056,0,0,0,0.689206762,93,1
769,0.04284514521,5.199027295,0,0,0,0.7022106632,85,1
557,0.04703382716,5.186577133,0,0,0,0.5763016158,23,1
675,0.03752939884,5.224118268,0,0,0,0.7096296296,100,1
779,0.04174490399,5.166880942,0,0,0,0.6842105263,82,1
762,0.04001848652,5.207374028,0,0,0,0.7020997375,92,1
137439,0.01781027538,6.01109885,74,0,2,0.3680905711,109,1
581,0.02815568333,5.053007058,4,0,2,0.5765920826,79,1
749,0.03982493592,5.228992122,0,0,0,0.696929239,116,1
66983,0.02984393946,5.496649607,31,0,0,0.300658376,193,1
779,0.04402189875,5.135734291,0,0,0,0.6803594352,83,1
769,0.04215769939,5.169217532,0,0,0,0.689206762,90,1
2455,0.03474405642,5.404414296,3,0,0,0.3788187373,60,1
5306,0.02874536429,5.637486764,2,0,0,0.3782510366,55,1
742,0.04005660014,5.189380201,0,0,0,0.6846361186,115,1
16375,0.02968767652,5.540110396,25,0,1,0.2989923664,144,1
5164,0.04993426534,5.597341275,13,0,0,0.355925639,56,1
34501,0.03209720701,5.477911906,1,0,0,0.194863917,118,1
762,0.04638874806,5.09042948,0,0,0,0.6850393701,25,1
5159,0.05942670988,5.492988348,9,0,0,0.4246947083,62,1
5107,0.02853477786,5.518913,14,0,1,0.3837869591,91,1
217,0.07117255504,4.405413757,1,0,0,0.5437788018,75,1
749,0.04186330437,5.174609155,0,0,0,0.696929239,118,1
779,0.04124990513,5.189877459,0,0,0,0.6842105263,80,1
772,0.04224377197,5.161906157,0,0,0,0.689119171,79,1
35152,0.02506448682,5.692669106,12,0,0,0.2880632681,1046,1
678,0.03680997634,5.236641801,0,0,0,0.715339233,94,1
749,0.04781062807,5.083431318,0,0,0,0.6822429907,116,1
749,0.04313416106,5.147950617,0,0,0,0.6955941255,114,1
769,0.03889317837,5.211758387,0,0,0,0.6983094928,89,1
24678,0.04591166481,5.397233514,0,0,0,0.1172299214,61,1
759,0.03898686301,5.230758265,0,0,0,0.7009222661,102,1
5765,0.05723613926,5.531028507,14,0,0,0.3458803122,84,1
695,0.0357763357,5.310547164,0,0,0,0.7237410072,80,1
752,0.03886661756,5.272197239,0,0,0,0.704787234,100,1
40682,0.0318269578,5.605834088,25,0,0,0.2375251954,110,1
170920,0.02886213489,5.795341631,103,0,3,0.2693599345,422,1
678,0.03738948946,5.252763292,0,0,0,0.7050147493,94,1
139506,0.0269316107,5.83888302,45,0,3,0.3033202873,1274,1
742,0.03902717607,5.238962757,0,0,0,0.7102425876,114,1
86594,0.02634568413,5.984286118,22,0,1,0.2479271081,126,1
772,0.04063762155,5.177788896,0,0,0,0.689119171,84,1
75329,0.08416135594,5.636472164,20,0,3,0.2486957214,784,1
749,0.04202037654,5.156988018,0,0,0,0.6929238985,118,1
759,0.03945964173,5.211733156,0,0,0,0.6930171278,107,1
157083,0.02063997794,5.826550686,87,0,0,0.3505089666,39941,1
